Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
California,Weekly,19/01/2020 0:00,Conventional,1.11020385,6296963.67,1694948.35,933659.68,174140.63,750817.59,0,0,0,2743397.41
California,Weekly,26/01/2020 0:00,Conventional,1.300391252,5104906.47,1635068.52,619277.41,155141.53,836572.28,0,0,0,1858846.74
California,Weekly,2/02/2020 0:00,Conventional,0.906224787,9302670.59,2775123.91,1189526.12,275437.2,2021734.22,0,0,0,3040849.15
California,Weekly,9/02/2020 0:00,Conventional,1.170327372,5672729.8,1867865.01,555551.82,257158.58,905854.6,0,0,0,2086299.78
California,Weekly,16/02/2020 0:00,Conventional,1.155336992,5544948.53,1557569.02,859678.22,134015.6,801098.36,0,0,0,2192587.32
California,Weekly,23/02/2020 0:00,Conventional,1.18051971,6059758.38,1735387.82,681841.08,144419.04,1515813.71,0,0,0,1982296.73
California,Weekly,1/03/2020 0:00,Conventional,1.349050474,5113556.16,1568275.98,641937.52,114929.64,889195.27,0,0,0,1899217.74
California,Weekly,8/03/2020 0:00,Conventional,1.325120012,5299653.76,1858375.73,581731.33,70159.34,913667.7,0,0,0,1875719.65
California,Weekly,15/03/2020 0:00,Conventional,1.410913913,6405106,1732765.39,776170.45,101695.58,1610792.71,0,0,0,2183681.88
California,Weekly,22/03/2020 0:00,Conventional,1.471249699,5371870.94,1712024.24,651367.92,105406.28,976416.29,0,0,0,1926656.21
California,Weekly,29/03/2020 0:00,Conventional,1.457817779,5585511.06,1850005.94,697157.28,115352.07,928268.56,0,0,0,1994727.22
California,Weekly,5/04/2020 0:00,Conventional,1.369689992,6467170.72,2117213.61,904170.25,147806.32,1032480.93,0,0,0,2265499.61
California,Weekly,12/04/2020 0:00,Conventional,1.45631333,5756833.95,1855454.37,774761.56,147338.77,995820.27,0,0,0,1983458.99
California,Weekly,19/04/2020 0:00,Conventional,1.314549959,6468066.33,1967980.66,942371.63,122967.39,989332.51,0,0,0,2445414.14
California,Weekly,26/04/2020 0:00,Conventional,1.41000829,6169098.87,2011140.73,857687.45,119990.61,1065773.72,0,0,0,2114506.36
California,Weekly,3/05/2020 0:00,Conventional,1.119411457,8374642.36,2620260.48,1293093.08,147287.2,1649500.43,0,0,0,2664501.17
California,Weekly,10/05/2020 0:00,Conventional,1.32211526,7001850.09,2306644.06,860413.08,193358.13,1275585.83,0,0,0,2365849
California,Weekly,17/05/2020 0:00,Conventional,1.365326737,6501178.97,2149382.55,809034.28,193953.33,1165824.05,0,0,0,2182984.77
California,Weekly,24/05/2020 0:00,Conventional,1.336657574,6893788.51,2161502.21,941579,162631.04,1223572.56,0,0,0,2404503.7
California,Weekly,31/05/2020 0:00,Conventional,1.254589714,7444423.98,2008321.62,1083248.9,305782.78,1071279.55,0,0,0,2975791.13
California,Weekly,7/06/2020 0:00,Conventional,1.30658599,6964191.03,2085631,991600.51,402664.38,1110305.79,0,0,0,2373989.35
California,Weekly,14/06/2020 0:00,Conventional,1.259565054,6819778.56,2138052.77,1001374.81,275708.62,1151034.01,0,0,0,2253608.34
California,Weekly,21/06/2020 0:00,Conventional,1.301494586,6616897.69,2013788.97,825988.64,238800.92,1059634.66,0,0,0,2478684.49
California,Weekly,28/06/2020 0:00,Conventional,1.211614912,6857520.39,1796828.49,1045021.21,239511.58,1016652.57,0,0,0,2759506.54
California,Weekly,5/07/2020 0:00,Conventional,1.303597592,7348045.17,2544202.46,771431.97,292296.92,1118614.37,0,0,0,2621499.45
California,Weekly,12/07/2020 0:00,Conventional,1.219042925,6860918.43,1846780.71,1000421.27,223296,1065641.92,0,0,0,2724778.53
California,Weekly,19/07/2020 0:00,Conventional,1.227887611,6764395.07,2004258.45,868391.84,211648.98,1095814.12,0,0,0,2584281.67
California,Weekly,26/07/2020 0:00,Conventional,1.256507989,6954076.76,2108059.39,787553.51,228052.63,1509861.11,0,0,0,2320550.13
California,Weekly,2/08/2020 0:00,Conventional,1.335626568,6439089.68,1935324.97,895582.68,215067.22,1146100.67,0,0,0,2247014.13
California,Weekly,9/08/2020 0:00,Conventional,1.284058992,6691538.58,1773058.59,1151331.45,179742.41,1146197.53,0,0,0,2441208.59
California,Weekly,16/08/2020 0:00,Conventional,1.184190685,6981014.88,1946509.84,1162715.62,162267.01,1173015.84,0,0,0,2536506.57
California,Weekly,23/08/2020 0:00,Conventional,1.16351947,7159925.12,2237585.5,749866.83,149426.12,1119075.86,0,0,0,2903970.82
California,Weekly,30/08/2020 0:00,Conventional,1.18117321,6790285.96,1912526.25,866173.81,144766.6,1116900.78,0,0,0,2749918.52
California,Weekly,6/09/2020 0:00,Conventional,1.212921162,6956280.9,2198959.14,678227.03,136606.27,1191367.61,0,0,0,2751120.85
